		total        used        free      shared     buffers
root      143   2     0      0     cpufreq_in 00000000 S cfinteractive
root      144   2     0      0     irq_thread 00000000 S irq/170-7824900
root      145   2     0      0     irq_thread 00000000 S irq/253-7864900
root      146   2     0      0     irq_thread 00000000 S irq/288-7864900
root      167   2     0      0     rescuer_th 00000000 S binder
root      168   2     0      0     rescuer_th 00000000 S usb_bam_wq
root      169   2     0      0     mmc_queue_ 00000000 S mmcqd/0
root      170   2     0      0     mmc_queue_ 00000000 S mmcqd/0rpmb
root      171   2     0      0     rfcomm_run 00000000 S krfcommd
root      172   2     0      0     irq_thread 00000000 S irq/467-wcnss
root      173   2     0      0     irq_thread 00000000 S irq/435-modem
root      174   2     0      0     rescuer_th 00000000 S msm_vidc_worker
root      175   2     0      0     rescuer_th 00000000 S pm_workerq_venu
root      176   2     0      0     irq_thread 00000000 S irq/327-fan5404
root      179   2     0      0     compact_th 00000000 S kcompact
root      180   2     0      0     rescuer_th 00000000 S rq_stats
root      181   2     0      0     rescuer_th 00000000 S bam_dmux_rx
root      182   2     0      0     rescuer_th 00000000 S bam_dmux_tx
root      183   2     0      0     mmc_queue_ 00000000 S mmcqd/1
root      184   2     0      0     rescuer_th 00000000 S k_bam_data
root      185   2     0      0     rescuer_th 00000000 S f_mtp
root      186   2     0      0     sleep_thre 00000000 S file-storage
root      187   2     0      0     do_hotplug 00000000 S msm_thermal:hot
root      188   2     0      0     do_freq_mi 00000000 S msm_thermal:fre
root      189   2     0      0     do_thermal 00000000 S msm_thermal:the
root      192   1     9244   388   poll_sched 00000000 S /sbin/ueventd
root      194   2     0      0     kjournald2 00000000 S jbd2/mmcblk0p42
root      195   2     0      0     rescuer_th 00000000 S ext4-dio-unwrit
root      197   2     0      0     gc_thread_ 00000000 S f2fs_gc-259:12
root      201   2     0      0     kjournald2 00000000 S jbd2/mmcblk0p43
root      202   2     0      0     rescuer_th 00000000 S ext4-dio-unwrit
root      203   2     0      0     kjournald2 00000000 S jbd2/mmcblk0p31
root      204   2     0      0     rescuer_th 00000000 S ext4-dio-unwrit
root      205   2     0      0     kjournald2 00000000 S jbd2/mmcblk0p1-
root      206   2     0      0     rescuer_th 00000000 S ext4-dio-unwrit
root      207   2     0      0     rescuer_th 00000000 S ext4-dio-unwrit
logd      208   1     18608  2752  sigsuspend 00000000 S /system/bin/logd
root      210   1     16048  1620  hrtimer_na 00000000 S /system/bin/vold
root      215   2     0      0     kauditd_th 00000000 S kauditd
root      221   2     0      0     worker_thr 00000000 S kworker/1:2
root      252   2     0      0     rescuer_th 00000000 S IPCRTR
root      253   2     0      0     rescuer_th 00000000 S modem_IPCRTR
root      254   1     9648   176   SyS_epoll_ 00000000 S /sbin/healthd
root      255   1     10524  828   SyS_epoll_ 00000000 S /system/bin/lmkd
system    256   1     10272  864   binder_thr 00000000 S /system/bin/servicemanager
system    257   1     66728  12532 SyS_epoll_ 00000000 S /system/bin/surfaceflinger
system    259   1     11944  808   poll_sched 00000000 S /system/bin/rfs_access
system    261   1     11648  884      do_wait 00000000 S /system/bin/qseecomd
nobody    270   1     15748  872   poll_sched 00000000 S /system/bin/rmt_storage
root      279   1     21484  1580  hrtimer_na 00000000 S /system/bin/netd
root      280   1     10556  576   __skb_recv 00000000 S /system/bin/debuggerd
radio     281   1     64496  7992  hrtimer_na 00000000 S /system/bin/rild
drm       282   1     22660  4836  binder_thr 00000000 S /system/bin/drmserver
media     283   1     78788  16016 binder_thr 00000000 S /system/bin/mediaserver
root      284   1     10212  756   unix_strea 00000000 S /system/bin/installd
keystore  291   1     12976  1300  binder_thr 00000000 S /system/bin/keystore
system    293   261   15908  492   sigsuspend 00000000 S /system/bin/qseecomd
root      298   1     46536  1428  hrtimer_na 00000000 S /system/bin/thermal-engine
system    299   1     10492  596   wcnss_wlan 00000000 S /system/bin/wcnss_service
mot_esdfs 301   1     8440   0     inotify_re 00000000 S /system/bin/esdpll
root      302   1     701816 66048 poll_sched 00000000 S zygote
system    319   1     12708  1268  binder_thr 00000000 S /system/bin/gatekeeperd
gps       320   1     10548  796   sigsuspend 00000000 S /system/bin/loc_launcher
camera    323   1     23408  4952  poll_sched 00000000 S /system/bin/mm-qcamera-daemon
system    326   1     17392  1148  futex_wait 00000000 S /system/bin/time_daemon
system    327   1     19632  2828  binder_thr 00000000 S /system/bin/audiod
diag      334   1     10516  604   poll_sched 00000000 S /system/bin/dropboxd
radio     337   1     10564  808   poll_sched 00000000 S /system/bin/subsystem_ramdump
system    342   1     44128  9152  do_sigtime 00000000 S /system/bin/mm-pp-daemon
radio     385   1     14952  1480  poll_sched 00000000 S /system/bin/qmuxd
radio     424   1     23572  2824  __skb_recv 00000000 S /system/bin/netmgrd
root      449   2     0      0     rescuer_th 00000000 S IPCRTR
mot_tcmd  462   1     16848  2196  futex_wait 00000000 S /system/bin/tcmd
shell     464   1     12748  248   poll_sched 00000000 S /sbin/adbd
radio     475   281   15868  1868  poll_sched 00000000 S /system/bin/qmi_motext_hook
root      483   2     0      0     rescuer_th 00000000 S wcnss_IPCRTR
root      688   2     0      0     __mdss_fb_ 00000000 D mdss_fb0
root      694   2     0      0     irq_thread 00000000 S irq/326-synapti
root      1892  2     0      0     worker_thr 00000000 S kworker/1:1H
system    2222  302   839260 99376 SyS_epoll_ 00000000 S system_server
u0_a36    3296  302   704736 86084 SyS_epoll_ 00000000 S com.android.systemui
u0_a11    3311  302   648132 49864 SyS_epoll_ 00000000 S android.process.media
system    3324  302   640524 40320 SyS_epoll_ 00000000 S com.motorola.process.slpc
root      3406  2     0      0     VosWDThrea 00000000 S VosWDThread
root      3410  2     0      0     VosMCThrea 00000000 S VosMCThread
root      3411  2     0      0     VosTXThrea 00000000 S VosTXThread
root      3412  2     0      0     VosRXThrea 00000000 S VosRXThread
root      3441  2     0      0     wlan_loggi 00000000 S wlan_logging_th
u0_a1     3620  302   646108 48796 SyS_epoll_ 00000000 S android.process.acore
wifi      3690  1     17180  3568  poll_sched 00000000 S /system/bin/wpa_supplicant
u0_a76    3743  302   652932 49696 SyS_epoll_ 00000000 S com.google.android.inputmethod.korean
radio     3822  302   663828 57932 SyS_epoll_ 00000000 S com.android.phone
u0_a95    3835  302   665056 53924 SyS_epoll_ 00000000 S com.pocketclaw.launcher
root      4261  2     0      0     worker_thr 00000000 S kworker/2:1H
root      4300  2     0      0     worker_thr 00000000 S kworker/3:1H
root      4340  1     13252  736   futex_wait 00000000 S /system/bin/perfd
radio     4435  302   642660 39760 SyS_epoll_ 00000000 S com.qualcomm.qcrilmsgtunnel
u0_a60    4483  302   654036 46500 SyS_epoll_ 00000000 S com.google.android.deskclock
u0_a69    4502  302   645104 41636 SyS_epoll_ 00000000 S com.google.process.gapps
u0_a72    4517  302   654176 46340 SyS_epoll_ 00000000 S com.google.android.inputmethod.pinyin
u0_a96    4532  302   687584 50204 SyS_epoll_ 00000000 S com.termux
u0_a96    4548  302   648448 40484 SyS_epoll_ 00000000 S com.termux.boot
u0_a96    4624  1     13752  748   poll_sched 00000000 S sshd
u0_a96    4630  1     10540  564   hrtimer_na 00000000 S /data/data/com.termux/files/usr/bin/applets/crond
u0_a96    4634  1     12040  1480     do_wait 00000000 S /data/data/com.termux/files/usr/bin/bash
u0_a96    4665  4634  10084  1112     do_wait 00000000 S proot
u0_a96    4666  4665  10880  1252     do_wait 00000000 S /lib/ld-linux-armhf.so.3
u0_a96    4667  4666  188788 35140 SyS_epoll_ 00000000 S openclaw
u0_a96    4682  4667  377052 234284 SyS_epoll_ 00000000 S openclaw-gateway
root      5171  2     0      0     worker_thr 00000000 S kworker/0:0
root      5267  2     0      0     worker_thr 00000000 S kworker/u8:4
system    5411  1     15960  2012  hrtimer_na 00000000 S /system/bin/ATFWD-daemon
root      5514  2     0      0     worker_thr 00000000 S kworker/1:0
root      5527  2     0      0     worker_thr 00000000 S kworker/0:2
shell     5647  464   10172  716            0 b6e54e0c R ps
